wallet_address,chain
0x00d59dcd98e49000598cfb2462066070744ba34e,FTM
0xa58db6eb6d41206fa4d530e9fb235015babdf55c,FTM
0x36599d9929664a7ff6171fee6a1d0f85f953e52a,FTM
0x44bd6fd314dd5aae5100f7a9932575207fbc3bd2,FTM
0x0899a0b74ebab3f637b59dbf90883e6df481fe00,FTM
0x096e182e1e574a63324eac77a12ba0ae6f4a5e1a,FTM
0x82d1883ca96e57773429e785f195e32783b1c246,FTM
0xa411ba6d7eba00f1f1bca68bc8a43124a272890c,FTM
0xa3b926f6d2bb5507fe711847640ba2086cb11a75,FTM
0x2ea2ce595bd68a0cd1fd34b06df98970952fe4d2,FTM
0x709cb5d672cabab9d50250c0af982c52b1b233a1,FTM
0xda74adab2dde5ad1b1cf80bf78bb9a7eac64652f,FTM
0x5a6e9ba01afdcec6bbf20d02493047fa8ccb5b98,FTM
0x40bd6e764dbc5c7268aac775d8978881b16221f1,FTM
0x574c5a477851536d8675a3aa5c76305c8b6ca2a1,FTM
0x116e7dbd690d6624feef080b9e8ebd6f967fe315,FTM
0x2b0c06be831a935b66c95f3d99e6fdebb2660df3,FTM
0xa997f11605425b9684748e256e3e9fb8453a3f99,FTM
0x0e90caa1ddf2184bfde42cb7daee3642f9ff54e4,FTM
0x37eedb7ac276bd6c894e81b8937b0b0bab154e22,FTM
0x68d3d9291424331063e74086d514f19e3f4edd5e,FTM
0xcba1dd242207088042faec9a8adef88409b59fc1,FTM
0x258bcbe1fe5f65243e1978c9e8df941fe7c4a479,FTM
0xae7ae37d9d97abc1099995036f17701fd55cefe5,FTM
0x461e76a4fe9f27605d4097a646837c32f1ccc31c,FTM
0x10d094bbff45b68f0b5261dc84cc724908bdea33,FTM
0x395ef2d7a5d499b62ac479064b7eaa51ae823a22,FTM
0xd11bcc0e7d44169a572da39ca6297d0dfa5c17fa,FTM
0xd3a13cc4a1108944b0ed45aa4428e19a17cca9b2,FTM
0x6fa4f64c281f466d089d754444186d640e94b658,FTM
0xac4dd773b0e88caa7e5d1fa75d3605ab1bd557a7,FTM
0x1da29ca4e330f0faa816edb6b55b46f9ee453f7f,FTM
0xa5c4fc8404abe0c8e80267b44ed3b60e30618c5a,FTM
0x9d04181afce69a1780b8035b904e5a4a2779ce78,FTM
0xb914d2a2dbe9a896c6a50ddaff92a900818f382f,FTM
0x00bdef65125c4a30d7916a05c5c8616e65810adc,FTM
0x500f8fe004e978d1c58dba852bfe7bba8ae434c1,FTM
0x8ea3985f053500d4526ff36ecb5e6e589c4c5342,FTM
0x0f8a2cdd0c42ed4944280f225adf505f0d3f66d0,FTM
