buyer_address,buyer_shares,buyer_uint_term
0xD620b642F5d5fe548ad7e652d06C115B96773d33,25,7776000
0xFc134E77ef0AF746851D8a8C8C92Ea2F0FC7F775,52,126144000
0xc3b77ff6624E3b6904bdE69D3Fd0A4f7161Cf227,52,126144000
0xA4cD4023eC92e5547A8f7fE6bcDcc5F4F4a1BE45,43,101369301
0xF516D138B35336967Ca05E6d397A94332F27E7Dc,35,75414856
0x7C8835efca119c13266549fa4cE88412A763BDAC,27,7776000
0x45820Af12059e11740373FA5cAD05933f36b24D9,33,7775999
0xb0E992eA2Dd3907E647C4d6787ADA9e1D10Ba09E,27,7776000
0x65e1Ad2cB4170b812a73B931A0Ce5BE676E46676,580,24204808
0xF8079dC4B50Cb7FB0A2035BEd9C183C27276B392,28,7776000
0x2D4C5711086a181F72eCC8134B3F51395Fd0cCbE,68,11188800
0x70b9e1f565b91617DD5bbB2dda93D86E7148D3B0,30,7776000
0xb7EA17c0C781129F7E218487e89AF694721E95Dd,31,7776000
0x72C5cd18A51D53Db34072546A7A38a4f73600d92,68,126144000
0xeC2D71d3F1dfF5F8ab34Eaa31AE76C6A8B3e41A1,70,126144000
0xa3089EB72A33B02a20B1f12740506E54Bcd1A884,30,7776000
0x6fA9772A990Fa6451183FbCb1daab1773fF14906,33,7776000
0xFe958312C439Bc37225BC9B3ec02b561a191594b,32,7776000
0x9619f2f29cc7d6c55ecb206788460941245F7b81,30,7776000
0x142D1A1920606c5D672eB0Ef2c4C9e3ab46f9507,30,7776000
0x3eb62166bd3c79A4f847782726481A73a6d3A4E9,67,126143999
0xCb9780a556Ec9B116E141D08872E0f4F264eb2eD,31,7776000
0x61d7ecE32854CaF46c6304Fd536704EacD4dA256,397,98450729
0xce0E1766269e63a87FB1C1e5C745B1db32b5713d,35,7776000
0x1341df844780b66AF4ccC98Ae0F34be87eABe1d5,50,66960000
0xD506025708BBb9832022C9F9F1427037AbACf5E4,147,4559802
0xCF612b06F02Bf3f53429ea7Ff0Cf57370a4dAcF4,70,126144000
0xE69f48B69E2342356b8E677Eb415800c91E86aE0,34,7776000
0xe0Ee681b35244a34242C5F570f79Df8702730fa5,200,28155167
0x06fe326eEADb513CbF90200d5EE4D01c8A8aD9eC,40,7776000
0xb59f5A4E0E68467178294fae49e9cf1954eE5f1F,60,86687999
0xA1fcb5C52306a1DaaeB1311D5089dA913B3cA8d5,36,7776000
0x9Ab53Bd039CB3Ab5D2A73Cd6E658152f65aeBDdf,80,126144000
0xFDeDfCBdf347B4d59BEcd6574F176Ad3716c4d29,40,7776000
0xA016B59Cea666f53da4DA3C9F99B97dA1e0b016b,80,126144000
0x690B1F02D3A943225e0571cB1185Ae78255D4d37,77,126143998
0x030fD92b541d758e374B628B44325086e6ee5841,39,7776000
0x01934A40De14805ABCE67AB1F70D2BDca4612Fd1,40,7776000
0xbE93d14C5dEFb8F41aF8FB092F58e3C71C712b85,80,6912000
0xA200419412D36Af995229b6033DB25034fe1A089,40,7776000
0x29ad2aD28ABDABB877E5572b57219A594e21EbEC,220,55162472
0xAfb7650aFbEa60dC21849dF752505871E1E8499d,50,7776000
0xf5075227D4D72f4aAd71f54747c450de474e1E94,40,7776000
0x9253b2559AD0D200562043691B9Db995D6b084e4,45,7776000
