wallet_address,chain,grain_remaining,cdx_allocation
0x5fdd97c6B27050B30390113927f8119649E09d57,ARB,11.72,0.9015560942
0x5F6Eb3Ff6d9Aa779FAd88Ee403E2929764af1E7b,ARB,11.72,0.9015560942
0x5036470d73438ec90230Ddc731A0539b88Cd7598,ARB,11.72,0.9015560942
0xd3a57f97733774887FbcbCadBed4792043A36336,ARB,11.72,0.9015560942
0xaD9F9194C68BD83250A534a7DA574687e1F102Ff,ARB,11.72,0.9015560942
0xc7f91e6650Fe21791B1f8af864eD019B6853294E,ARB,11.72,0.9015560942
0x6105B2b5Aeb25369d60f896165C528E2d3Af465e,OP,11.72,0.9015560942
0x1A66536999b66f6aE13508fC198a06615A11CD77,MATIC,11.72,0.9015560942
0xE77590755D8300C225ff40c8f0f7C78BCd03bDBe,OP,11.74,0.9029778482
0x09410cFEAb89BE6d21C30A7B02Dfc6E162f4f5Cb,FTM,12.15,0.9343637205
0x99AFc0F1D580f5BaCCfE9d4F864a1f34aAf192Ed,BNB,12.21,0.9395163508
0x51256EF00c2485F3A40fE1b6E4E779147BCDbb58,ARB,12.31,0.9466338989
0xe751970824f3BCbf97E611e351C1136776be1cE9,OP,12.31,0.9466338989
0xc45D05CDc809d20c7B14959E8cd4a1199E3e966F,FTM,12.31,0.9466338989
0x023aB8e20a4682d315Daef4c91DB96bD77934D66,ARB,12.34,0.9488941
0xFFE731C449200919de0F270372aD6810fA693FBB,FTM,12.35,0.9498299153
0xD2B0810A5E4918AbB0DB9fB578484d3b94f79F19,BNB,12.49,0.9605373191
0x348C6EF550b98950afa2e55B3c02a306cA4c0135,FTM,12.50,0.9613905691
0x2860cE83720bAB73B28E0179F64F2EAF810fD995,ARB,12.54,0.9646650208
0xCE5B6d4F24b06F9c93c42653695A26AB88f1B951,ARB,12.54,0.9646650208
0xf22B3e9FDfac016Fa197C2326c84657ba4f78f78,OP,12.54,0.9646650208
0xE344E0ac1Ee2101A06bCdd9498B3bdC692a371d7,FTM,12.54,0.9646650208
0x88dDD62EAcd47f6EfdB2D6E06C98e1F108FEb719,FTM,12.96,0.9965909252
0xfEB8fB2a14F488F5FEdC8586d26eFBdeb76eCcA8,OP,13.02,1.001728893
0xaf0f263Bf13Add0Bae7D5D4c5123abb65a9B7A7A,FTM,13.04,1.003409394
0xA016B59Cea666f53da4DA3C9F99B97dA1e0b016b,FTM,13.22,1.016754227
0x4515B252Ce3c045878E4fd3cFDA5C83F00C4B32f,MATIC,13.32,1.024859217
0xd3DE5A6f0F1A948725E56088CEEF5d9c0e16bA70,FTM,13.39,1.030311828
0x73ef2F1b0DbCA5b4D6828195907066cE6264af3e,FTM,13.80,1.061172994
