tx_hash,trove_owner,collateral_redeemed,number_of_collateral_tokens,debt,operation,timestamp,block_number
0xa483ddce1213b9a14630e5671d40af41bd9a6aef6f78087dc17c7b02b04dd044,0x53c76EDEB3B27ba1b14FaaD18adFc6B17408C471,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,0,0,1,1708517692,56869535
0xf480fb8d076105c764b2b819c18d2729b7a486394e98305584e0a9e71eb04673,0x97D37E8B619cF4C6145da456766CA4FA157292D3,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,3469708615249645837438,1769562027678076608677,2,1708494584,56794219
0x35b458a747a73a8034ba2e7616d9221a524fa0412e03fbb9b11332e18af0b1ef,0x3e8E36AC89A038b5b992499f8E94922E9c76E013,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,26242634867,21612500000000000000000,2,1708473263,56748434
0xead3158e86e5692997b8b65d74e4dbbe1c012c81b25101f4e07b6776dfd72f49,0x3e8E36AC89A038b5b992499f8E94922E9c76E013,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,15000000000,12065000000000000000000,0,1708468600,56730607
0xa7da55af7d21f287f1725ec20a080e81094a797e8165d9ad03cc0624d618aaca,0xEEcafff217eAa6928c0cFD89be0613c518cc928E,0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,7798305534,7040000000000000000000,2,1708466847,56727893
0x56b39b9b7e895f2a005d32af1acacc67af6b8a994ecc20be4fc2421d97631796,0x7658f261257B99b83527a353e252544B122817Eb,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1100605781647401501,2417000000000000000000,2,1708461017,56712109
0x68613f8b1a8ac6f6e6431daf64755a80113adcb562958dd111ba97f4b046e20c,0x231D04d32DdC9573b775B1738B51F8108639017c,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,101779724404891365,185900000000000000000,0,1708458500,56706073
0xb16d68e0a557bcaab9752eed9b3b78dc694efe46c5e8ebaeff2906f7436707bb,0x5897eABd827d38A5A8042051b9210bF6802e89D6,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0,0,1,1708445805,56674789
0x108d316e3b6d7ea4479b671d5629073646459cebdea327a0382747bc2134b1e6,0x0c7BE72E04d4aFa9D848c7346f6984Ed3f41e4e0,0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,0,0,1,1708410972,56586908
0x35dfbde88dffd1728f042595e4efa22d206de7afffdf05b5de34689a352178c8,0x2B185C762F6Fb49a07116EC06B238B58Fe2BeC53,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,72000000,65300000000000000000,0,1708405428,56570451
0x2455d797a87363911ae715f1bb0b25b6d5b50e27e46b3a62ae65a100fec9398b,0x5760f4126aE24e1E0FA650069Eb24bD64e7E3677,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,2550000000000000000000,1010000000000000000000,0,1708385988,56513184
0xd77ef81ae6198fba57e2d50e6bcbac1937ae9f66a51d7800c78d17e846c2c15e,0xa1ddd3455A909b6C3EfAB5ddc0C2706895104A0E,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,30000000000000000,55250000000000000000,0,1708381549,56494545
0x1f894bdac322f8f0013713d43202b6ec2267870be9842046f227b39280f68768,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3220654335402790623,7040000000000000000000,2,1708378951,56486875
0xa644f8e661949a1305f2d5526750293df42fe88af4c400b2c948508a6fbfa655,0x6D3B90747dbf5883bF88fF7Eb5fCC86f408b5409,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,12000058340000000000,27276680000000000000000,2,1708374218,56477670
0x7915f875a265a4e27c438e569fccadcfd9f6d7883d139bd4d6b57cce431d0a80,0x31DDDf4E2ac81403FA9b993CfBE4CA535a1656b5,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,250000000000000000,236150000000000000000,2,1708368706,56463973
0x436320d9d0e654eca8d06d80bfa6626ed9504293f5c0d338a209cbdc904d7125,0x5A98dBcEeCa053b7845Fc4dD79124F66908AdE50,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,5000000000,4527500000000000000000,0,1708361934,56449521
0x9f4218749a9abb213ca52257a3d2a21de98e919799d68dfd91bd5af4df2dc504,0xb5693B3FE31603DC8E83bfadf52C00FA294Ddc17,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,111149856905902170318,56255000000000000000,0,1708353462,56431820
0xb808c4d5cef389f30e0f212bc26e77ebd6043650e5585b8c05b907bf99efaa42,0x5Be66f4095f89BD18aBE4aE9d2acD5021EC433Bc,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1239247559798696170467,400000000000000000000,2,1708342799,56405059
0x874eb8bebaf576f7f2d66306a3780341ce74f230357892d2b433904215fd06f8,0x37eedb7AC276bD6c894e81B8937b0b0BAB154E22,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,1100000000,894425000000000000000,2,1708338489,56392084
0xa0bb648722dcd2aff8be8505b4081457e5b8be1900363585e3186f5084654f1a,0x4406C04A6CbD9f812277e0E85594d809D7454405,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,400000005068182156416,145700000000000000000,0,1708257644,56172083
