buyer_address,total_amount_USD
0xe4f2023783aec5037d1cba8095d89db89c7e5aa6,3160.0
0x77a6b981f8be856e1670be732df657350d8ff0e3,3160.0
0x169945cf64ebd10139bf7b85c86bf710947ac9fa,3035.66
0x9029c2892a447b62b7de18e23a43f03417840256,3020.0
0x8ec5d230232f6d48353106cf8a911bb2fe435394,2983.0
0xf022f5a52ed036ee612bdb3b0ff3d41f134b7aa6,2873.0
0x40b66cd81949be635a7596b4c08fd23e210412a7,2862.0
0xbb674c3251c4d1fcbc4860dc707daf94c286a461,2854.4
0xb0724d41bf219dd61384619f2513000d9d7d2ead,2844.8
0xbe7dd82facd47d3598803f44cb980078466aeba3,2836.25
0xcada753152577217f9b1dbdb175e5cb6051fee43,2800.0
0xd31e79aceae4fe18fe300e97f03aea3ddc0d9add,2738.0
0x5223c1c21c1894ee58ded4d09ccfa239a272af16,2562.3499999999995
0x57a3edd9cd6ad5c50e93c0499855b13a97b8d4e9,2507.72
0xd25162374e5eec71c4c25c12d00d1d85251542a6,2460.0
0xd870e0af031778d00d53943bd55e00eed0d3013e,2452.7999999999997
0x9cf40f5fb40626e3b242049da8c7e013c0cddc19,2356.25
0x3bac6de48b10b51184faba45547b942039772355,2345.8399999999997
0x23fa4be9954ecfa249b1ef5c027eb113542ac9ba,2338.0
0x41f7cdf33466ea516f4fb66eb7ba7bd4ae4d1056,2296.9100000000003
0xbd24232607ed1e583fe27b1c58a6ef7a9c58e46f,2272.6400000000003
0x913d97dae24a2564b0b092fe99e0df5291a6c086,2265.0
0x69cd1c2e13113c09a22ff98cbd2db3f682f716b4,2239.125
0xa60f546f1e74d92e13a2690a5ff871118f1cb049,2229.12
0x9f5810960af877e908637fcc4b3ad87f53469232,2198.0
0x483c68b81446504c2a8c5987b49cf013944d2a16,2197.0
0xc3a84268a94f1cbf72f5e5f83524011caf71fe43,2171.8900000000003
0x838260ceb50062e172cfa293270025506642a669,2145.0
0x02e4883aaf6b3ae671d2c9810407bcb01ad7988e,2128.0
0xc6556e2e88f9a1b4cb8b995a42ba2996fde963bf,2116.36
0xcc6bb37ce6e9b92452e0209958c72cceaf1518d5,2115.0
0x66697dabffe51a73e506f463b27e388512ed6ecd,2100.0
0xf6f7828cb124e459478f47faa5b29eeab5f014f1,2065.5
0xaac2bd4f44c02d3a8a8f4ac88b87a91ab7ef0bf2,2030.25
0xbd1bff03034ac340235e48ee35c85b1121b8198e,2019.8049999999998
0x8e097b69c474d522bedaeff4c58f760c7b480195,2004.0
0xbf2b071a6b207d41495c4a1dc5b051fe1d462fcc,1959.3700000000001
0x583e1eb86669456c72618fb789311495a37e4508,1936.2199999999998
0x1e6ff9effcdaee26e7fc16f391358f6d9ee49df5,1933.6799999999998
0x7bf7b7995bac3f199a08e94da57b2df4afff801c,1860.0
0x9902c6a422a08f189282582a105a7b12124380b7,1814.3999999999999
0x387b2f4bd572a84c732642cd3b64282e05ccf5a3,1788.71
0xc88b926a00ee23b87b98b7c390f5192e588a1e42,1786.33
0x423d9e79cf8c1a88f2e54583c50cf3453a1c7373,1771.44
0xb5b1a0c74c335cb3dc548f870f0b7c260b209e2c,1757.28
0x144db4e3d28aca86ca6cd7ad6fa3cdabd3200ff1,1754.51
0x5d839396809ad81a09d3f1a55ea6027d4e366d13,1719.6499999999999
0x5cdb526e3024e5d4de0212c8e02d92e504f63c4c,1706.0
0x08e504415a4480d28e02040151c3fb1d9d653fed,1694.91
0x0a85f4bbbb08253b862d7a3b440f19e844ee3846,1690.0
0x51d18e5f6fa6534bb2fbaaf90fd6f3336327fd16,1690.0
0x0bb5eb7229ce9b65b2eb2743f8bffac4456b3661,1690.0
